cat,False,True,total,percent
0,10.0,271.0,281.0,0.9644128113879004
1,148.0,45.0,193.0,0.23316062176165803
2,1.0,134.0,135.0,0.9925925925925926
3,2.0,230.0,232.0,0.9913793103448276
4,6.0,120.0,126.0,0.9523809523809523
5,0.0,56.0,56.0,1.0
6,0.0,46.0,46.0,1.0
7,2.0,141.0,143.0,0.986013986013986
8,1.0,73.0,74.0,0.9864864864864865
9,1.0,99.0,100.0,0.99
A,2.0,84.0,86.0,0.9767441860465116
C,0.0,125.0,125.0,1.0
D,1.0,0.0,1.0,0.0
E,0.0,20.0,20.0,1.0
F,1.0,18.0,19.0,0.9473684210526315
G,0.0,10.0,10.0,1.0
H,5.0,11.0,16.0,0.6875
I,42.0,3.0,45.0,0.06666666666666667
K,0.0,16.0,16.0,1.0
L,0.0,8.0,8.0,1.0
M,0.0,48.0,48.0,1.0
N,0.0,45.0,45.0,1.0
O,0.0,2.0,2.0,1.0
P,2.0,19.0,21.0,0.9047619047619048
R,3.0,10.0,13.0,0.7692307692307693
S,0.0,14.0,14.0,1.0
T,0.0,13.0,13.0,1.0
U,0.0,195.0,195.0,1.0
X,0.0,64.0,64.0,1.0
Z,1.0,30.0,31.0,0.967741935483871
